project_short_name,case_barcode,sample_barcode,sample_type_name,CD274,PDCD1LG2,PDCD1,HLA_A,HLA_B,HLA_C,B2M,GJA1,GJB2,GJA5,GJB6,ARNTL,CLOCK,PER1,PER2,CRY1,CRY2,MYC,TP53,CDH1,VIM
TCGA-BRCA,TCGA-3C-AAAU,TCGA-3C-AAAU-01A,Primary Tumor,1.9566,1.2118,0.5749,214.3871,698.0322,1136.585,720.7375,26.7725,24.5559,6.7021,0.0,6.9743,20.4664,19.3997,21.8233,15.0293,34.5382,78.9768,48.5833,543.2414,112.5573
TCGA-BRCA,TCGA-3C-AALI,TCGA-3C-AALI-01A,Primary Tumor,5.5524,7.0995,7.3236,1506.1475,1740.9325,1362.409,1328.5809,57.9233,39.3025,6.5502,0.0,11.5328,10.0068,15.5479,34.1436,13.6253,22.4105,5.4516,13.9928,370.2825,212.1896
TCGA-BRCA,TCGA-3C-AALJ,TCGA-3C-AALJ-01A,Primary Tumor,1.7519,4.3818,4.9498,1178.6182,1491.8934,1118.3793,1054.3513,44.8821,47.0459,9.218,0.0,6.327,9.228,31.921,15.4065,13.0235,21.9649,35.6558,37.647,218.9447,352.275
TCGA-BRCA,TCGA-3C-AALK,TCGA-3C-AALK-01A,Primary Tumor,2.3772,3.2392,1.8628,700.4167,984.1267,908.636,813.0397,120.1801,133.3937,10.93,0.3385,5.0514,11.8434,25.2534,17.2994,14.5948,31.6493,40.9461,41.2468,247.7352,313.977
TCGA-BRCA,TCGA-4H-AAAK,TCGA-4H-AAAK-01A,Primary Tumor,2.7268,5.259,1.7141,880.482,1392.1333,1068.4823,1186.5286,209.6128,159.0786,13.5255,0.5624,6.1243,14.0978,66.7844,29.961,25.8194,51.235,150.5384,52.7249,20.2171,397.9596
TCGA-BRCA,TCGA-5L-AAT0,TCGA-5L-AAT0-01A,Primary Tumor,2.689,8.0425,5.461,1275.5407,1771.0195,1439.2595,1546.6961,96.7163,189.0047,13.1302,0.155,11.4146,12.0649,17.3971,16.3547,15.407,39.9652,50.4947,46.5115,147.8883,420.8797
TCGA-BRCA,TCGA-5L-AAT1,TCGA-5L-AAT1-01A,Primary Tumor,8.6052,9.7289,12.7607,2866.0678,4072.0044,3182.6901,3363.7815,241.8504,71.5003,10.9654,0.0,7.4542,10.0502,13.2551,17.2153,18.7607,33.3467,36.9299,59.3522,49.915,464.6601
TCGA-BRCA,TCGA-5T-A9QA,TCGA-5T-A9QA-01A,Primary Tumor,1.1041,0.7703,0.2821,854.4047,1261.5378,1148.3602,1210.9702,8.7709,2.8695,3.2387,0.0,4.8205,13.3628,41.4426,33.9477,24.413,40.8079,57.8396,82.4972,565.8505,94.7716
TCGA-BRCA,TCGA-A1-A0SB,TCGA-A1-A0SB-01A,Primary Tumor,0.5931,1.0377,0.2905,275.5523,405.5123,562.3016,270.4821,71.1566,5.9798,8.1253,0.479,11.9227,19.4148,148.7052,45.2465,37.4335,50.7542,286.1859,159.466,727.8842,878.656
TCGA-BRCA,TCGA-A1-A0SD,TCGA-A1-A0SD-01A,Primary Tumor,4.2808,8.3713,1.4428,983.0272,1721.5019,1717.2984,1692.4305,278.8958,52.2795,27.4514,6.5151,12.1899,24.4844,12.3505,35.3311,24.5164,32.0441,83.945,45.2188,391.8702,381.0597
TCGA-BRCA,TCGA-A1-A0SE,TCGA-A1-A0SE-01A,Primary Tumor,2.1952,4.7193,0.9623,406.2246,522.392,679.6178,742.6949,578.8305,71.5753,12.0446,0.2507,8.0942,22.1287,30.6573,29.2367,15.838,50.8969,78.2356,50.2405,312.3844,267.2204
TCGA-BRCA,TCGA-A1-A0SF,TCGA-A1-A0SF-01A,Primary Tumor,2.6002,7.839,7.3826,786.826,1502.1272,1414.6687,1104.1329,44.6047,7.2687,10.301,0.0207,6.776,11.8701,60.7587,24.6629,10.8715,30.8689,54.3457,51.4415,417.7315,255.9052
TCGA-BRCA,TCGA-A1-A0SG,TCGA-A1-A0SG-01A,Primary Tumor,2.2329,3.6897,1.6165,413.9687,586.3596,509.2117,704.3345,933.5543,89.0366,17.3449,0.1016,12.6054,17.5839,78.9895,13.7348,25.1168,37.0615,15.3266,53.8095,344.4752,285.0466
TCGA-BRCA,TCGA-A1-A0SH,TCGA-A1-A0SH-01A,Primary Tumor,1.6818,4.8193,0.7943,489.1715,912.5634,1134.7268,881.893,359.4202,292.1782,57.8598,0.2641,8.2914,24.8663,15.9724,18.007,26.3544,33.4603,21.3698,38.6794,256.4718,577.2554
TCGA-BRCA,TCGA-A1-A0SI,TCGA-A1-A0SI-01A,Primary Tumor,6.6216,13.3198,6.2437,1547.7168,2172.0401,2467.1613,2112.0795,333.873,227.4284,38.6876,0.069,11.1096,15.4924,12.3477,29.7122,37.6942,49.6174,15.857,60.1437,307.2444,397.5425
TCGA-BRCA,TCGA-A1-A0SJ,TCGA-A1-A0SJ-01A,Primary Tumor,1.342,2.9881,1.9717,597.472,867.2403,1221.9848,1211.6465,77.6294,20.1561,13.7562,0.5939,6.8482,28.1426,46.658,28.8161,15.7598,32.4244,49.4444,33.6849,1628.6017,315.8081
TCGA-BRCA,TCGA-A1-A0SK,TCGA-A1-A0SK-01A,Primary Tumor,0.825,1.8116,1.4222,165.2555,297.4047,527.1771,296.2819,39.7115,28.7133,7.4009,4.3323,17.6349,18.0492,9.4675,15.5451,45.1178,20.5317,202.8019,243.3907,95.6381,88.9063
TCGA-BRCA,TCGA-A1-A0SM,TCGA-A1-A0SM-01A,Primary Tumor,2.6216,5.1965,0.8385,802.4291,1424.3409,1727.0281,1352.6231,198.3595,169.6383,16.21,0.2016,7.7975,21.6682,61.4132,28.5689,21.2112,30.2297,14.5518,35.1115,161.1677,411.7735
TCGA-BRCA,TCGA-A1-A0SN,TCGA-A1-A0SN-01A,Primary Tumor,4.2242,8.8611,3.0173,1048.0344,1378.1663,1892.2434,1444.4138,124.1291,68.6217,18.2717,0.1533,7.2277,17.9795,11.8993,18.5057,15.6942,28.1704,43.7318,70.769,347.1233,295.3648
TCGA-BRCA,TCGA-A1-A0SO,TCGA-A1-A0SO-01A,Primary Tumor,0.7985,2.6321,0.555,594.9047,239.4355,647.993,290.5881,109.2671,6.6718,6.3877,0.0,4.1353,18.9313,9.5729,10.0003,53.8663,30.1296,128.1626,148.2631,128.7099,512.0001
TCGA-BRCA,TCGA-A1-A0SP,TCGA-A1-A0SP-01A,Primary Tumor,3.0006,9.7206,2.2149,894.5586,1048.7811,594.5049,930.6499,131.2334,15.236,14.0539,0.6374,4.7147,13.4193,9.1507,6.5423,20.0112,11.7463,151.4028,12.453,340.1147,318.4592
TCGA-BRCA,TCGA-A1-A0SQ,TCGA-A1-A0SQ-01A,Primary Tumor,1.2126,2.1848,1.1719,279.8919,568.7913,789.1352,747.852,39.4211,2.0135,9.8174,0.0,9.6746,16.9662,24.3404,22.1623,20.6675,24.0073,32.8039,16.8973,815.2811,111.2547
TCGA-BRCA,TCGA-A2-A04N,TCGA-A2-A04N-01A,Primary Tumor,2.4807,4.2708,0.8099,564.6826,817.9414,885.4885,789.2818,370.6463,143.9302,26.4834,0.1598,8.5259,14.9533,13.8448,13.1847,24.302,29.4171,50.4754,80.9765,190.0648,398.282
TCGA-BRCA,TCGA-A2-A04P,TCGA-A2-A04P-01A,Primary Tumor,2.3755,3.9645,2.2524,956.4303,1075.5212,908.0977,668.2039,20.6271,24.0143,5.841,0.1671,1.4412,9.4939,8.3344,4.2489,7.518,6.5226,13.6503,8.0326,28.9165,287.5892
TCGA-BRCA,TCGA-A2-A04Q,TCGA-A2-A04Q-01A,Primary Tumor,15.6985,17.1737,14.3869,2724.9106,4519.5662,2526.4981,3039.5523,60.4527,24.5102,10.8415,0.1701,4.8385,12.3968,19.1965,5.6854,6.6848,13.5696,53.7344,18.4262,193.7446,433.8202
TCGA-BRCA,TCGA-A2-A04R,TCGA-A2-A04R-01A,Primary Tumor,1.7106,1.3434,0.147,189.4547,370.8578,349.2022,510.2277,169.0953,102.2811,9.6364,0.0943,8.0543,26.3771,10.8196,27.1974,20.0964,21.5352,123.1779,30.0503,519.5644,220.6204
TCGA-BRCA,TCGA-A2-A04T,TCGA-A2-A04T-01A,Primary Tumor,5.8383,16.1833,7.0138,976.5524,1171.2943,777.0687,867.2286,16.7101,18.9743,3.4445,1.6456,6.7551,13.0329,10.993,7.5991,10.9953,11.6215,82.6283,116.6966,508.8361,140.3259
